Time_ps,Coherence,Purity,Energy_eV
0.0,1.0,1.0,0.75
0.05,1.0,0.9936621212367451,0.75
0.1,0.9901374104294465,0.995982847250989,0.75
0.15000000000000002,0.9891617339290791,0.9989979157757337,0.75
0.2,0.9765799049134862,1.0,0.75
0.25,0.9850863821296312,1.0,0.75
0.30000000000000004,0.9871093249264182,0.996201112967336,0.75
0.35000000000000003,0.9934286304242645,0.9930015232505424,0.75
0.4,0.9800177347574685,0.9921271362894005,0.75
0.45,0.9666370876043329,0.9829754491269435,0.75
0.5,0.9814255255390624,0.9982181602646606,0.75
0.55,0.9683271325111351,0.9826475489779543,0.75
0.6000000000000001,0.9607561742422894,0.9917002229249325,0.75
0.65,0.9750751031044264,0.9801215638647982,0.75
0.7000000000000001,0.9747130082991806,0.9857784707843921,0.75
0.75,0.9632276545070542,0.9747866352423173,0.75
0.8,0.9560678048398407,0.9802747230349738,0.75
0.8500000000000001,0.9651191394198897,0.9752478724739269,0.75
0.9,0.953541965599415,0.9658079515861937,0.75
0.9500000000000001,0.9429889469099103,0.9786134327923159,0.75
1.0,0.9672339622484156,0.976913119477195,0.75
1.05,0.9707944889674351,0.9682546961916189,0.75
1.1,0.9428835588147312,0.9730898572122451,0.75
1.1500000000000001,0.9648065495075594,0.9652221291037144,0.75
1.2000000000000002,0.9195652005450324,0.974472611247564,0.75
1.25,0.9312686856812544,0.9714936833895941,0.75
1.3,0.9393201360303016,0.9616502202386158,0.75
1.35,0.9368771358505111,0.9715811889147623,0.75
1.4000000000000001,0.9289487258162984,0.9746290402459191,0.75
1.4500000000000002,0.9296000184141695,0.9605584251298994,0.75
1.5,0.9265699853187632,0.9582371706312863,0.75
1.55,0.9381857027886713,0.9650190201510479,0.75
1.6,0.9175055697811466,0.9640474154589683,0.75
1.6500000000000001,0.9200532107661535,0.9573767144396573,0.75
1.7000000000000002,0.9126070635832023,0.952418810252916,0.75
1.75,0.9033664801871573,0.9583159979731796,0.75
1.8,0.9046659277698496,0.9592218866956207,0.75
1.85,0.9102339272772597,0.9543569673784322,0.75
1.9000000000000001,0.9252423440334654,0.9531220041431022,0.75
1.9500000000000002,0.9101068167914459,0.9598806829833025,0.75
2.0,0.9002205449952226,0.9503132043678166,0.75
2.0500000000000003,0.9051845139704509,0.9586091134443484,0.75
2.1,0.9260510439954027,0.9463643828832582,0.75
2.15,0.8869977906873944,0.955504511366873,0.75
2.2,0.9170540731289237,0.9446830252456907,0.75
2.25,0.8848912497008573,0.9422472387716625,0.75
2.3000000000000003,0.8943452455272191,0.9503567362556617,0.75
2.35,0.8998676110102699,0.9422019718325272,0.75
2.4000000000000004,0.885484366010299,0.9433438666557815,0.75
2.45,0.8901017858683611,0.9349025615806851,0.75
2.5,0.8904243211044656,0.9410362932113537,0.75
2.5500000000000003,0.8775165207672997,0.93581915252993,0.75
2.6,0.8805565251575392,0.942065823650593,0.75
2.6500000000000004,0.8760184913379158,0.9469541503807046,0.75
2.7,0.8745404240003894,0.9420088104961851,0.75
2.75,0.8817816170329102,0.9351456740501567,0.75
2.8000000000000003,0.8770534927770212,0.9354473507475198,0.75
2.85,0.8671444788944042,0.9348074482379266,0.75
2.9000000000000004,0.8748833187795794,0.9295751035276686,0.75
2.95,0.8667357117759703,0.9345455585282689,0.75
3.0,0.8656363469181051,0.9354237051486424,0.75
3.0500000000000003,0.8682756903121046,0.9239097223881002,0.75
3.1,0.8493814137369311,0.9358795145501861,0.75
3.1500000000000004,0.8513894292554024,0.9219712704936057,0.75
3.2,0.8468934658062193,0.9234114128153966,0.75
3.25,0.8588422370922687,0.9227625016086948,0.75
3.3000000000000003,0.8531264593938621,0.936483073225916,0.75
3.35,0.8284666875232245,0.9252823687691483,0.75
3.4000000000000004,0.8300724311110499,0.915500608061881,0.75
3.45,0.8611177101479458,0.9265294173422947,0.75
3.5,0.8350628884718264,0.9157368773355848,0.75
3.5500000000000003,0.8341255028885846,0.9227342875301648,0.75
3.6,0.8369599711891534,0.9034224711192117,0.75
3.6500000000000004,0.8104926244650371,0.9184987310239187,0.75
3.7,0.8299024160863563,0.9089648074842397,0.75
3.75,0.8321332693011121,0.9112491590965192,0.75
3.8000000000000003,0.8376117205378807,0.911186992468929,0.75
3.85,0.836709160518734,0.9061391583245644,0.75
3.9000000000000004,0.8328805416699817,0.9109178113309004,0.75
3.95,0.8295093830386979,0.9070750287581826,0.75
4.0,0.817668761140453,0.9145913453634302,0.75
4.05,0.810501680281961,0.9039801237508449,0.75
4.1000000000000005,0.8064539030341146,0.9060943536614416,0.75
4.15,0.804183360144352,0.905521578161593,0.75
4.2,0.7940730168266229,0.9024085154180933,0.75
4.25,0.8050407053456704,0.9026272204295355,0.75
4.3,0.8127381406279165,0.9050596523834886,0.75
4.3500000000000005,0.8015073578469926,0.9058055382403516,0.75
4.4,0.8042211530186802,0.8992904757133839,0.75
4.45,0.7766773016933813,0.9117234860938364,0.75
4.5,0.7859341432408491,0.9032063956307071,0.75
4.55,0.7875601222072823,0.8906278950713985,0.75
4.6000000000000005,0.7871087583090409,0.8998384417164768,0.75
4.65,0.7922718661047227,0.9003034978169467,0.75
4.7,0.7899786917935779,0.9000087285826522,0.75
4.75,0.7812896772983557,0.8881833153036446,0.75
4.800000000000001,0.8061105947432564,0.8908033939201665,0.75
4.8500000000000005,0.7887294672048772,0.890723369912024,0.75
4.9,0.7849519421126975,0.8838771491471229,0.75
4.95,0.789694908443558,0.8875073875350825,0.75
5.0,0.7830188971984158,0.8968694111532945,0.75
